,Unnamed: 0,drug_name,to_be_split,symptom1,symptom2,symptom3,symptom4,symptom5,symptom6,symptom7,symptom8,symptom9,symptom10,symptom11,symptom12,symptom13,symptom14,symptom15
10,10.0,Aczone,difficult breathing swelling face lips tongue throat may cause methemoglobinemia met heem oh glo bin ee mee serious condition amount oxygen stop using medicine call doctor notice blue gray appearance lips fingernails inside mouth dry peeling skin oily skin redness medicine applied,difficult breathing,swelling face,lips tongue,throat may,cause methemoglobinemia,met heem,oh glo,bin ee,mee serious,condition amount,oxygen stop,using medicine,call doctor,notice blue,gray appearance
11,11.0,benzoyl peroxide,benzoyl peroxide topical cause rare serious allergic reaction severe skin irritation reactions may occur minutes apply medicine within day longer afterward stop using medicine get emergency medical help signs allergic reaction : itching difficult breathing feeling light headed swelling face lips tongue throat stop using benzoyl peroxide,benzoyl peroxide,topical cause,rare serious,allergic reaction,severe skin,irritation reactions,may occur,minutes apply,medicine within,day longer,afterward stop,using medicine,get emergency,medical help,signs allergic
12,12.0,Differin,itching chest pain difficult breathing swelling face lips tongue throat stop using medicine side effects may occur first weeks using medicine side effects become less noticeable continued use dry red scaly skin feeling warmth mild stinging burning peeling skin skin pain,itching chest,pain difficult,breathing swelling,face lips,tongue throat,stop using,medicine side,effects may,occur first,weeks using,medicine side,effects become,less noticeable,continued use,dry red
13,13.0,Epiduo,benzoyl peroxide dry scaly skin skin redness burning stinging,benzoyl peroxide,dry scaly,skin skin,redness burning,stinging,,,,,,,,,,
14,14.0,adapalene,itching chest pain difficult breathing swelling face lips tongue throat topical stop using topical side effects may occur first weeks using medicine side effects become less noticeable continued use,itching chest,pain difficult,breathing swelling,face lips,tongue throat,topical stop,using topical,side effects,may occur,first weeks,using medicine,side effects,become less,noticeable continued,use
15,15.0,cephalexin,severe stomach pain diarrhea watery bloody even occurs months last dose unusual tiredness feeling light headed short breath easy bruising unusual bleeding purple red spots skin seizure pale skin cold hands feet yellowed skin dark colored urine fever weakness pain side lower back painful urination diarrhea nausea vomiting indigestion stomach pain vaginal itching discharge,severe stomach,pain diarrhea,watery bloody,even occurs,months last,dose unusual,tiredness feeling,light headed,short breath,easy bruising,unusual bleeding,purple red,spots skin,seizure pale,skin cold
16,16.0,Doryx,along needed effects medicine may cause unwanted effects although side effects may occur occur may need medical attention side effects may go away treatment body adjusts medicine also health care professional may able tell ways prevent reduce side effects check health care professional following side effects continue bothersome questions : incidence known back leg stomach pains black tarry stools bleeding gums blood urine stools blurred vision bulging soft spot head infant change ability see col,along needed,effects medicine,may cause,unwanted effects,although side,effects may,occur occur,may need,medical attention,side effects,may go,away treatment,body adjusts,medicine also,health care
17,17.0,tetracycline,difficult breathing swelling face lips tongue throat nausea vomiting diarrhea upset stomach loss appetite white patches sores inside mouth lips swollen tongue black `` hairy '' tongue trouble swallowing sores swelling rectal genital area vaginal itching discharge,difficult breathing,swelling face,lips tongue,throat nausea,vomiting diarrhea,upset stomach,loss appetite,white patches,sores inside,mouth lips,swollen tongue,black ``,hairy '',tongue trouble,swallowing sores
18,18.0,Septra,skin rash fever swollen glands joint pain muscle aches severe weakness pale skin unusual bruising yellowing skin eyes nausea vomiting loss appetite skin rash,skin rash,fever swollen,glands joint,pain muscle,aches severe,weakness pale,skin unusual,bruising yellowing,skin eyes,nausea vomiting,loss appetite,skin rash,,,
19,19.0,Solodyn,skin rash fever swollen glands muscle aches severe weakness unusual bruising yellowing skin eyes numbness tingling burning pain hair loss discoloration skin nails dizziness spinning sensation muscle joint pain nausea diarrhea loss appetite swollen tongue cough trouble swallowing rash itching headache,skin rash,fever swollen,glands muscle,aches severe,weakness unusual,bruising yellowing,skin eyes,numbness tingling,burning pain,hair loss,discoloration skin,nails dizziness,spinning sensation,muscle joint,pain nausea
20,20.0,Tazorac,difficult breathing swelling face lips tongue throat stop using dry scaly peeling skin skin pain redness burning itching irritation treated skin,difficult breathing,swelling face,lips tongue,throat stop,using dry,scaly peeling,skin skin,pain redness,burning itching,irritation treated,skin,,,,
21,21.0,Vibramycin,along needed effects medicine may cause unwanted effects although side effects may occur occur may need medical attention side effects may go away treatment body adjusts medicine also health care professional may able tell ways prevent reduce side effects check health care professional following side effects continue bothersome questions : incidence known back leg stomach pains black tarry stools bleeding gums blood urine stools blurred vision bulging soft spot head infant change ability see col,along needed,effects medicine,may cause,unwanted effects,although side,effects may,occur occur,may need,medical attention,side effects,may go,away treatment,body adjusts,medicine also,health care
22,22.0,Acticlate,warning caution : even though may rare people may bad sometimes deadly side effects taking drug tell doctor get medical help right away following signs symptoms may related bad side effect : signs allergic reaction like rash itching red swollen blistered peeling skin without fever wheezing tightness chest throat trouble breathing swallowing talking unusual hoarseness swelling mouth face lips tongue throat signs liver problems like dark urine feeling tired hungry upset stomach stomach pain light ,warning caution,: even,though may,rare people,may bad,sometimes deadly,side effects,taking drug,tell doctor,get medical,help right,away following,signs symptoms,may related,bad side
23,23.0,benzoyl peroxide / clindamycin,benzoyl peroxide cause rare serious allergic reaction severe skin irritation reactions may occur minutes apply medicine within day longer afterward stop using benzoyl peroxide topical get emergency medical help signs allergic reaction : itching difficult breathing feeling light headed swelling face lips tongue throat medicine stop using medicine,benzoyl peroxide,cause rare,serious allergic,reaction severe,skin irritation,reactions may,occur minutes,apply medicine,within day,longer afterward,stop using,benzoyl peroxide,topical get,emergency medical,help signs
24,24.0,Doxy 100,warning caution : even though may rare people may bad sometimes deadly side effects taking drug tell doctor get medical help right away following signs symptoms may related bad side effect : signs allergic reaction like rash itching red swollen blistered peeling skin without fever wheezing tightness chest throat trouble breathing swallowing talking unusual hoarseness swelling mouth face lips tongue throat signs liver problems like dark urine feeling tired hungry upset stomach stomach pain light ,warning caution,: even,though may,rare people,may bad,sometimes deadly,side effects,taking drug,tell doctor,get medical,help right,away following,signs symptoms,may related,bad side
25,25.0,Keflex,severe stomach pain diarrhea watery bloody even occurs months last dose unusual tiredness feeling light headed short breath easy bruising unusual bleeding purple red spots skin seizure pale skin cold hands feet yellowed skin dark colored urine fever weakness pain side lower back painful urination diarrhea nausea vomiting indigestion stomach pain vaginal itching discharge,severe stomach,pain diarrhea,watery bloody,even occurs,months last,dose unusual,tiredness feeling,light headed,short breath,easy bruising,unusual bleeding,purple red,spots skin,seizure pale,skin cold
26,26.0,sulfamethoxazole / trimethoprim,skin rash fever swollen glands joint pain muscle aches severe weakness pale skin unusual bruising yellowing skin eyes sulfamethoxazole,skin rash,fever swollen,glands joint,pain muscle,aches severe,weakness pale,skin unusual,bruising yellowing,skin eyes,sulfamethoxazole,,,,,
27,27.0,Benzaclin,difficulty breathing swelling face lips tongue throat stop using medicine less serious side effects,difficulty breathing,swelling face,lips tongue,throat stop,using medicine,less serious,side effects,,,,,,,,
28,28.0,Monodox,along needed effects medicine may cause unwanted effects although side effects may occur occur may need medical attention side effects may go away treatment body adjusts medicine also health care professional may able tell ways prevent reduce side effects check health care professional following side effects continue bothersome questions : incidence known back leg stomach pains black tarry stools bleeding gums blood urine stools blurred vision bulging soft spot head infant change ability see col,along needed,effects medicine,may cause,unwanted effects,although side,effects may,occur occur,may need,medical attention,side effects,may go,away treatment,body adjusts,medicine also,health care
29,29.0,Targadox,warning caution : even though may rare people may bad sometimes deadly side effects taking drug tell doctor get medical help right away following signs symptoms may related bad side effect : signs allergic reaction like rash itching red swollen blistered peeling skin without fever wheezing tightness chest throat trouble breathing swallowing talking unusual hoarseness swelling mouth face lips tongue throat signs liver problems like dark urine feeling tired hungry upset stomach stomach pain light ,warning caution,: even,though may,rare people,may bad,sometimes deadly,side effects,taking drug,tell doctor,get medical,help right,away following,signs symptoms,may related,bad side
30,30.0,Adoxa,warning caution : even though may rare people may bad sometimes deadly side effects taking drug tell doctor get medical help right away following signs symptoms may related bad side effect : signs allergic reaction like rash itching red swollen blistered peeling skin without fever wheezing tightness chest throat trouble breathing swallowing talking unusual hoarseness swelling mouth face lips tongue throat signs liver problems like dark urine feeling tired hungry upset stomach stomach pain light ,warning caution,: even,though may,rare people,may bad,sometimes deadly,side effects,taking drug,tell doctor,get medical,help right,away following,signs symptoms,may related,bad side
31,31.0,Adoxa CK,along needed effects medicine may cause unwanted effects although side effects may occur occur may need medical attention side effects may go away treatment body adjusts medicine also health care professional may able tell ways prevent reduce side effects check health care professional following side effects continue bothersome questions : incidence known back leg stomach pains black tarry stools bleeding gums blood urine stools blurred vision bulging soft spot head infant change ability see col,along needed,effects medicine,may cause,unwanted effects,although side,effects may,occur occur,may need,medical attention,side effects,may go,away treatment,body adjusts,medicine also,health care
32,32.0,Adoxa Pak,along needed effects medicine may cause unwanted effects although side effects may occur occur may need medical attention side effects may go away treatment body adjusts medicine also health care professional may able tell ways prevent reduce side effects check health care professional following side effects continue bothersome questions : incidence known back leg stomach pains black tarry stools bleeding gums blood urine stools blurred vision bulging soft spot head infant change ability see col,along needed,effects medicine,may cause,unwanted effects,although side,effects may,occur occur,may need,medical attention,side effects,may go,away treatment,body adjusts,medicine also,health care
33,33.0,Adoxa TT,along needed effects medicine may cause unwanted effects although side effects may occur occur may need medical attention side effects may go away treatment body adjusts medicine also health care professional may able tell ways prevent reduce side effects check health care professional following side effects continue bothersome questions : incidence known back leg stomach pains black tarry stools bleeding gums blood urine stools blurred vision bulging soft spot head infant change ability see col,along needed,effects medicine,may cause,unwanted effects,although side,effects may,occur occur,may need,medical attention,side effects,may go,away treatment,body adjusts,medicine also,health care
34,34.0,Avidoxy,warning caution : even though may rare people may bad sometimes deadly side effects taking drug tell doctor get medical help right away following signs symptoms may related bad side effect : signs allergic reaction like rash itching red swollen blistered peeling skin without fever wheezing tightness chest throat trouble breathing swallowing talking unusual hoarseness swelling mouth face lips tongue throat signs liver problems like dark urine feeling tired hungry upset stomach stomach pain light ,warning caution,: even,though may,rare people,may bad,sometimes deadly,side effects,taking drug,tell doctor,get medical,help right,away following,signs symptoms,may related,bad side
35,35.0,Bactrim DS,along needed effects medicine may cause unwanted effects although side effects may occur occur may need medical attention side effects may go away treatment body adjusts medicine also health care professional may able tell ways prevent reduce side effects check health care professional following side effects continue bothersome questions : common passing gas incidence known discouragement feeling constant movement self surroundings feeling sad empty increased sensitivity skin sunlight lack feeli,along needed,effects medicine,may cause,unwanted effects,although side,effects may,occur occur,may need,medical attention,side effects,may go,away treatment,body adjusts,medicine also,health care
36,36.0,Cleocin T,difficult breathing swelling face lips tongue throat stop using,difficult breathing,swelling face,lips tongue,throat stop,using,,,,,,,,,,
37,37.0,Clindagel,difficult breathing swelling face lips tongue throat stop using,difficult breathing,swelling face,lips tongue,throat stop,using,,,,,,,,,,
38,38.0,Doryx MPC,along needed effects medicine may cause unwanted effects although side effects may occur occur may need medical attention side effects may go away treatment body adjusts medicine also health care professional may able tell ways prevent reduce side effects check health care professional following side effects continue bothersome questions : incidence known back leg stomach pains black tarry stools bleeding gums blood urine stools blurred vision bulging soft spot head infant change ability see col,along needed,effects medicine,may cause,unwanted effects,although side,effects may,occur occur,may need,medical attention,side effects,may go,away treatment,body adjusts,medicine also,health care
39,39.0,erythromycin,difficult breathing swelling face lips tongue throat topical,difficult breathing,swelling face,lips tongue,throat topical,,,,,,,,,,,
40,40.0,Morgidox,warning caution : even though may rare people may bad sometimes deadly side effects taking drug tell doctor get medical help right away following signs symptoms may related bad side effect : signs allergic reaction like rash itching red swollen blistered peeling skin without fever wheezing tightness chest throat trouble breathing swallowing talking unusual hoarseness swelling mouth face lips tongue throat signs liver problems like dark urine feeling tired hungry upset stomach stomach pain light ,warning caution,: even,though may,rare people,may bad,sometimes deadly,side effects,taking drug,tell doctor,get medical,help right,away following,signs symptoms,may related,bad side
41,41.0,Oraxyl,warning caution : even though may rare people may bad sometimes deadly side effects taking drug tell doctor get medical help right away following signs symptoms may related bad side effect : signs allergic reaction like rash itching red swollen blistered peeling skin without fever wheezing tightness chest throat trouble breathing swallowing talking unusual hoarseness swelling mouth face lips tongue throat signs liver problems like dark urine feeling tired hungry upset stomach stomach pain light ,warning caution,: even,though may,rare people,may bad,sometimes deadly,side effects,taking drug,tell doctor,get medical,help right,away following,signs symptoms,may related,bad side
42,42.0,Claravis,problems vision hearing muscle joint pain bone pain back pain increased thirst increased urination hallucinations see hearing things real symptoms depression -- unusual mood changes crying spells feelings low self worth loss interest things enjoyed new sleep problems thoughts hurting signs liver pancreas problems -- loss appetite upper stomach pain may spread back nausea vomiting fast heart rate dark urine jaundice yellowing skin eyes severe stomach problems -- severe stomach chest pain pain swa,problems vision,hearing muscle,joint pain,bone pain,back pain,increased thirst,increased urination,hallucinations see,hearing things,real symptoms,depression --,unusual mood,changes crying,spells feelings,low self
43,43.0,Clinda-Derm,along needed effects medicine may cause unwanted effects although side effects may occur occur may need medical attention side effects may go away treatment body adjusts medicine also health care professional may able tell ways prevent reduce side effects check health care professional following side effects continue bothersome questions : common dryness scaliness peeling skin topical solution less common abdominal pain diarrhea mild headache irritation oiliness skin stinging burning feeling ski,along needed,effects medicine,may cause,unwanted effects,although side,effects may,occur occur,may need,medical attention,side effects,may go,away treatment,body adjusts,medicine also,health care
44,44.0,Evoclin,difficult breathing swelling face lips tongue throat serious side effects unlikely applied skin occur medicine absorbed stop using burning itching dryness peeling redness treated skin oily skin,difficult breathing,swelling face,lips tongue,throat serious,side effects,unlikely applied,skin occur,medicine absorbed,stop using,burning itching,dryness peeling,redness treated,skin oily,skin,
45,45.0,Minocin,along needed effects medicine may cause unwanted effects although side effects may occur occur may need medical attention side effects may go away treatment body adjusts medicine also health care professional may able tell ways prevent reduce side effects check health care professional following side effects continue bothersome questions : less common continuing ringing buzzing unexplained noise ears difficulty moving hearing loss welts muscle stiffness redness skin sleepiness unusual drowsiness,along needed,effects medicine,may cause,unwanted effects,although side,effects may,occur occur,may need,medical attention,side effects,may go,away treatment,body adjusts,medicine also,health care
46,46.0,Yaz,difficult breathing swelling face lips tongue throat stop using nausea vomiting breast tenderness headache mood changes feeling tired irritable weight gain skin darkening pigmentation changes changes menstrual periods decreased sex drive,difficult breathing,swelling face,lips tongue,throat stop,using nausea,vomiting breast,tenderness headache,mood changes,feeling tired,irritable weight,gain skin,darkening pigmentation,changes changes,menstrual periods,decreased sex
47,47.0,adapalene / benzoyl peroxide,benzoyl peroxide benzoyl peroxide,benzoyl peroxide,benzoyl peroxide,,,,,,,,,,,,,
48,48.0,Clindacin ETZ,difficult breathing swelling face lips tongue throat clindacin etz stop using clindacin etz,difficult breathing,swelling face,lips tongue,throat clindacin,etz stop,using clindacin,etz,,,,,,,,
49,49.0,Clindacin P,difficult breathing swelling face lips tongue throat clindacin stop using clindacin,difficult breathing,swelling face,lips tongue,throat clindacin,stop using,clindacin,,,,,,,,,
50,50.0,Clindacin PAC,along needed effects medicine may cause unwanted effects although side effects may occur occur may need medical attention side effects may go away treatment body adjusts medicine also health care professional may able tell ways prevent reduce side effects check health care professional following side effects continue bothersome questions : common dryness scaliness peeling skin topical solution less common abdominal pain diarrhea mild headache irritation oiliness skin stinging burning feeling ski,along needed,effects medicine,may cause,unwanted effects,although side,effects may,occur occur,may need,medical attention,side effects,may go,away treatment,body adjusts,medicine also,health care
51,51.0,ClindaReach Pledget,along needed effects medicine may cause unwanted effects although side effects may occur occur may need medical attention side effects may go away treatment body adjusts medicine also health care professional may able tell ways prevent reduce side effects check health care professional following side effects continue bothersome questions : common dryness scaliness peeling skin topical solution less common abdominal pain diarrhea mild headache irritation oiliness skin stinging burning feeling ski,along needed,effects medicine,may cause,unwanted effects,although side,effects may,occur occur,may need,medical attention,side effects,may go,away treatment,body adjusts,medicine also,health care
52,52.0,Clindets,along needed effects medicine may cause unwanted effects although side effects may occur occur may need medical attention side effects may go away treatment body adjusts medicine also health care professional may able tell ways prevent reduce side effects check health care professional following side effects continue bothersome questions : common dryness scaliness peeling skin topical solution less common abdominal pain diarrhea mild headache irritation oiliness skin stinging burning feeling ski,along needed,effects medicine,may cause,unwanted effects,although side,effects may,occur occur,may need,medical attention,side effects,may go,away treatment,body adjusts,medicine also,health care
53,53.0,Milk of Magnesia,difficult breathing swelling face lips tongue throat milk magnesia stop using milk magnesia,difficult breathing,swelling face,lips tongue,throat milk,magnesia stop,using milk,magnesia,,,,,,,,
54,54.0,Septra DS,along needed effects medicine may cause unwanted effects although side effects may occur occur may need medical attention side effects may go away treatment body adjusts medicine also health care professional may able tell ways prevent reduce side effects check health care professional following side effects continue bothersome questions : common passing gas incidence known discouragement feeling constant movement self surroundings feeling sad empty increased sensitivity skin sunlight lack feeli,along needed,effects medicine,may cause,unwanted effects,although side,effects may,occur occur,may need,medical attention,side effects,may go,away treatment,body adjusts,medicine also,health care
55,55.0,Yasmin,difficult breathing swelling face lips tongue throat stop using nausea vomiting breast tenderness headache mood changes feeling tired irritable weight gain changes menstrual periods decreased sex drive,difficult breathing,swelling face,lips tongue,throat stop,using nausea,vomiting breast,tenderness headache,mood changes,feeling tired,irritable weight,gain changes,menstrual periods,decreased sex,drive,
56,56.0,Ziana,difficult breathing swelling face lips tongue throat stop using medicine mild skin irritation dryness peeling mild skin redness itching treated skin,difficult breathing,swelling face,lips tongue,throat stop,using medicine,mild skin,irritation dryness,peeling mild,skin redness,itching treated,skin,,,,
57,57.0,Absorica,problems vision hearing muscle joint pain bone pain back pain increased thirst increased urination hallucinations see hearing things real symptoms depression -- unusual mood changes crying spells feelings low self worth loss interest things enjoyed new sleep problems thoughts hurting signs liver pancreas problems -- loss appetite upper stomach pain may spread back nausea vomiting fast heart rate dark urine jaundice yellowing skin eyes severe stomach problems -- severe stomach chest pain pain swa,problems vision,hearing muscle,joint pain,bone pain,back pain,increased thirst,increased urination,hallucinations see,hearing things,real symptoms,depression --,unusual mood,changes crying,spells feelings,low self
58,58.0,Acanya,difficulty breathing swelling face lips tongue throat stop using less serious side effects,difficulty breathing,swelling face,lips tongue,throat stop,using less,serious side,effects,,,,,,,,
59,59.0,Amnesteem,problems vision hearing muscle joint pain bone pain back pain increased thirst increased urination hallucinations see hearing things real symptoms depression -- unusual mood changes crying spells feelings low self worth loss interest things enjoyed new sleep problems thoughts hurting signs liver pancreas problems -- loss appetite upper stomach pain may spread back nausea vomiting fast heart rate dark urine jaundice yellowing skin eyes severe stomach problems -- severe stomach chest pain pain swa,problems vision,hearing muscle,joint pain,bone pain,back pain,increased thirst,increased urination,hallucinations see,hearing things,real symptoms,depression --,unusual mood,changes crying,spells feelings,low self
60,60.0,azelaic acid,difficult breathing swelling face lips tongue throat medicine stop using medicine,difficult breathing,swelling face,lips tongue,throat medicine,stop using,medicine,,,,,,,,,
61,61.0,Co-trimoxazole,nan,nan,,,,,,,,,,,,,,
62,62.0,dapsone,difficult breathing swelling face lips tongue throat topical may cause methemoglobinemia met heem oh glo bin ee mee serious condition amount oxygen stop using medicine call doctor notice blue gray appearance lips fingernails inside mouth topical,difficult breathing,swelling face,lips tongue,throat topical,may cause,methemoglobinemia met,heem oh,glo bin,ee mee,serious condition,amount oxygen,stop using,medicine call,doctor notice,blue gray
63,63.0,Duac,benzoyl peroxide cause rare serious allergic reaction severe skin irritation reactions may occur minutes apply medicine within day longer afterward stop using get emergency medical help signs allergic reaction : itching difficult breathing feeling light headed swelling face lips tongue throat medicine stop using medicine,benzoyl peroxide,cause rare,serious allergic,reaction severe,skin irritation,reactions may,occur minutes,apply medicine,within day,longer afterward,stop using,get emergency,medical help,signs allergic,reaction :
64,64.0,Emcin Clear,difficult breathing swelling face lips tongue throat emcin clear,difficult breathing,swelling face,lips tongue,throat emcin,clear,,,,,,,,,,
65,65.0,Epiduo Forte,benzoyl peroxide forte,benzoyl peroxide,forte,,,,,,,,,,,,,
66,66.0,Erygel,difficult breathing swelling face lips tongue throat,difficult breathing,swelling face,lips tongue,throat,,,,,,,,,,,
67,67.0,Ery Pads,nan,nan,,,,,,,,,,,,,,
68,68.0,Myorisan,problems vision hearing muscle joint pain bone pain back pain increased thirst increased urination hallucinations see hearing things real symptoms depression -- unusual mood changes crying spells feelings low self worth loss interest things enjoyed new sleep problems thoughts hurting signs liver pancreas problems -- loss appetite upper stomach pain may spread back nausea vomiting fast heart rate dark urine jaundice yellowing skin eyes severe stomach problems -- severe stomach chest pain pain swa,problems vision,hearing muscle,joint pain,bone pain,back pain,increased thirst,increased urination,hallucinations see,hearing things,real symptoms,depression --,unusual mood,changes crying,spells feelings,low self
69,69.0,Onexton,benzoyl peroxide cause rare serious allergic reaction severe skin irritation reactions may occur minutes apply medicine within day longer afterward stop using get emergency medical help signs allergic reaction : itching difficult breathing feeling light headed swelling face lips tongue throat medicine stop using medicine,benzoyl peroxide,cause rare,serious allergic,reaction severe,skin irritation,reactions may,occur minutes,apply medicine,within day,longer afterward,stop using,get emergency,medical help,signs allergic,reaction :
70,70.0,Phillips' Milk of Magnesia,difficult breathing swelling face lips tongue throat phillips milk magnesia stop using phillips milk magnesia,difficult breathing,swelling face,lips tongue,throat phillips,milk magnesia,stop using,phillips milk,magnesia,,,,,,,
71,71.0,salicylic acid,salicylic acid topical cause rare serious allergic reaction severe skin irritation reactions may occur minutes apply medicine within day longer afterward stop using medicine get emergency medical help signs allergic reaction : itching difficult breathing feeling light headed swelling face lips tongue throat also stop using salicylic acid topical,salicylic acid,topical cause,rare serious,allergic reaction,severe skin,irritation reactions,may occur,minutes apply,medicine within,day longer,afterward stop,using medicine,get emergency,medical help,signs allergic
72,72.0,Spotex,nan,nan,,,,,,,,,,,,,,
73,73.0,Theramycin Z,difficult breathing swelling face lips tongue throat theramycin,difficult breathing,swelling face,lips tongue,throat theramycin,,,,,,,,,,,
74,74.0,Absorica LD,warning caution : even though may rare people may bad sometimes deadly side effects taking drug tell doctor get medical help right away following signs symptoms may related bad side effect : signs allergic reaction like rash itching red swollen blistered peeling skin without fever wheezing tightness chest throat trouble breathing swallowing talking unusual hoarseness swelling mouth face lips tongue throat signs symptoms depression suicidal thoughts emotional ups downs abnormal thinking anxiety l,warning caution,: even,though may,rare people,may bad,sometimes deadly,side effects,taking drug,tell doctor,get medical,help right,away following,signs symptoms,may related,bad side
75,75.0,Achromycin V,nan,nan,,,,,,,,,,,,,,
76,76.0,Acne Treatment,warning caution : even though may rare people may bad sometimes deadly side effects taking drug tell doctor get medical help right away following signs symptoms may related bad side effect : signs allergic reaction like rash itching red swollen blistered peeling skin without fever wheezing tightness chest throat trouble breathing swallowing talking unusual hoarseness swelling mouth face lips tongue throat acne treatment side effects,warning caution,: even,though may,rare people,may bad,sometimes deadly,side effects,taking drug,tell doctor,get medical,help right,away following,signs symptoms,may related,bad side
77,77.0,Acnex,along needed effects medicine may cause unwanted effects although side effects may occur occur may need medical attention side effects may go away treatment body adjusts medicine also health care professional may able tell ways prevent reduce side effects check health care professional following side effects continue bothersome questions : common skin irritation present use medicine mild stinging side effects listed may also occur patients notice effects check healthcare professional call doctor,along needed,effects medicine,may cause,unwanted effects,although side,effects may,occur occur,may need,medical attention,side effects,may go,away treatment,body adjusts,medicine also,health care
78,78.0,Ala-Tet,difficult breathing swelling face lips tongue throat ala tet,difficult breathing,swelling face,lips tongue,throat ala,tet,,,,,,,,,,
79,79.0,Amzeeq,skin rash fever swollen glands muscle aches severe weakness unusual bruising yellowing skin eyes serious side effects unlikely applied skin occur medicine absorbed liver problems -- loss appetite stomach pain upper right side tiredness itching dark urine clay colored stools jaundice yellowing skin eyes lupus -like symptoms -- muscle joint pain flu symptoms chest pain rash patchy skin color worsens sunlight affect growth children especially used long term,skin rash,fever swollen,glands muscle,aches severe,weakness unusual,bruising yellowing,skin eyes,serious side,effects unlikely,applied skin,occur medicine,absorbed liver,problems --,loss appetite,stomach pain
80,80.0,Atralin,difficult breathing swelling face lips tongue throat stop using mild warmth stinging medicine applied changes color treated skin,difficult breathing,swelling face,lips tongue,throat stop,using mild,warmth stinging,medicine applied,changes color,treated skin,,,,,,
81,81.0,Avita,difficult breathing swelling face lips tongue throat skin may sensitive weather extremes cold wind using,difficult breathing,swelling face,lips tongue,throat skin,may sensitive,weather extremes,cold wind,using,,,,,,,
82,82.0,Azelex,difficult breathing swelling face lips tongue throat medicine stop using medicine,difficult breathing,swelling face,lips tongue,throat medicine,stop using,medicine,,,,,,,,,
83,83.0,Benzamycin,benzoyl peroxide cause rare serious allergic reaction severe skin irritation reactions may occur minutes apply medicine within day longer afterward stop using medicine get emergency medical help signs allergic reaction : itching difficult breathing feeling light headed swelling face lips tongue throat medicine stop using medicine,benzoyl peroxide,cause rare,serious allergic,reaction severe,skin irritation,reactions may,occur minutes,apply medicine,within day,longer afterward,stop using,medicine get,emergency medical,help signs,allergic reaction
